frame_no,quadrant,color,box
299,1,burnt_sienna,"[1067, 707, 1195, 834]"
299,4,raw_umber,"[1033, 192, 1171, 328]"
300,2,msu_green,"[1500, 229, 1605, 344]"
300,1,burnt_sienna,"[1065, 706, 1193, 833]"
300,4,raw_umber,"[1033, 192, 1171, 329]"
301,1,burnt_sienna,"[1060, 705, 1189, 833]"
301,4,raw_umber,"[1034, 191, 1169, 327]"
302,1,burnt_sienna,"[1050, 704, 1185, 835]"
302,4,raw_umber,"[1032, 191, 1170, 329]"
303,4,raw_umber,"[1033, 192, 1172, 329]"
304,1,burnt_sienna,"[1045, 707, 1181, 835]"
304,4,raw_umber,"[1034, 191, 1171, 328]"
305,1,burnt_sienna,"[1043, 709, 1181, 837]"
305,4,raw_umber,"[1034, 191, 1170, 329]"
306,1,burnt_sienna,"[1048, 710, 1182, 839]"
306,4,raw_umber,"[1035, 192, 1170, 328]"
307,4,raw_umber,"[1033, 192, 1170, 328]"
308,1,dim_gray,"[1059, 715, 1190, 843]"
308,4,raw_umber,"[1033, 192, 1171, 327]"
309,1,burnt_sienna,"[1063, 717, 1192, 846]"
309,4,raw_umber,"[1033, 192, 1171, 328]"
310,4,raw_umber,"[1034, 192, 1171, 328]"
311,1,burnt_sienna,"[1068, 724, 1196, 852]"
311,4,raw_umber,"[1034, 191, 1170, 328]"
312,1,burnt_sienna,"[1070, 729, 1197, 855]"
312,4,raw_umber,"[1033, 191, 1170, 327]"
313,4,raw_umber,"[1033, 191, 1170, 327]"
314,1,burnt_sienna,"[1074, 734, 1201, 863]"
314,4,raw_umber,"[1034, 192, 1170, 327]"
315,4,raw_umber,"[1032, 191, 1170, 326]"
316,4,raw_umber,"[1032, 191, 1170, 327]"
317,4,raw_umber,"[1033, 191, 1170, 327]"
318,1,burnt_sienna,"[1073, 744, 1197, 878]"
318,4,raw_umber,"[1034, 191, 1170, 326]"
319,1,burnt_sienna,"[1073, 747, 1197, 878]"
319,4,raw_umber,"[1033, 192, 1170, 326]"
320,1,burnt_sienna,"[1076, 749, 1198, 880]"
320,4,raw_umber,"[1032, 192, 1170, 327]"
321,1,dim_gray,"[1078, 750, 1200, 881]"
321,4,raw_umber,"[1033, 192, 1170, 327]"
322,1,dim_gray,"[1080, 751, 1202, 881]"
322,4,raw_umber,"[1033, 192, 1170, 327]"
323,1,burnt_sienna,"[1081, 750, 1202, 882]"
323,4,raw_umber,"[1033, 191, 1170, 327]"
324,1,burnt_sienna,"[1080, 750, 1202, 879]"
324,4,raw_umber,"[1032, 191, 1171, 327]"
325,4,raw_umber,"[1033, 192, 1170, 327]"
326,4,raw_umber,"[1033, 191, 1170, 327]"
327,4,raw_umber,"[1033, 191, 1170, 327]"
328,1,dim_gray,"[1071, 742, 1197, 876]"
328,4,raw_umber,"[1033, 192, 1171, 327]"
329,1,dim_gray,"[1070, 739, 1195, 875]"
329,4,raw_umber,"[1032, 191, 1170, 327]"
330,1,dim_gray,"[1069, 739, 1193, 873]"
330,4,raw_umber,"[1033, 191, 1170, 326]"
331,1,burnt_sienna,"[1067, 736, 1193, 867]"
331,4,raw_umber,"[1034, 192, 1170, 327]"
332,1,burnt_sienna,"[1066, 733, 1192, 863]"
332,4,raw_umber,"[1033, 192, 1170, 328]"
333,1,burnt_sienna,"[1065, 730, 1191, 859]"
333,4,raw_umber,"[1034, 191, 1170, 328]"
334,1,dim_gray,"[1064, 728, 1192, 857]"
